"ExtId";"Name";"Start";"End";"Resource";"2020-10-05";"2020-10-12";"2020-10-19";"2020-10-26";"2020-11-02";"2020-11-09";"2020-11-16"
1;"1 tem";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
1.1;"  1.0 Dev Tasks";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1";"    1.0.0 MEIF MindSphere";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.1";"      1.0.0.0 TESTMS-1 : ensu";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.1.1";"        1.0.0.0.0 TESTMS-1.3: tes";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.1.2";"        1.0.0.0.1 TESTMS-1.2: tes";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.1.3";"        1.0.0.0.2 BUGFIX: On Indu";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.2";"      1.0.0.1 MEIFMR-201: MEI";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.3";"      1.0.0.2 Develop Test an";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.4";"      1.0.0.3 MEL BSP sanity ";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.5";"      1.0.0.4 Develop Test an";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.6";"      1.0.0.5 MEIF QA for PRI";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.6.1";"        1.0.0.5.0 QA Cycle 2 - Bu";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.6.2";"        1.0.0.5.1 Develop Test an";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.6.3";"        1.0.0.5.2 Verify and test";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.6.4";"        1.0.0.5.3 MEL BSP sanity ";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.6.5";"        1.0.0.5.4 Develop Test an";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.6.6";"        1.0.0.5.5 Setup build and";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.7";"      1.0.0.6 MEIF MindSphere";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.7.1";"        1.0.0.6.0 MCLUPDATE-2: bu";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.7.2";"        1.0.0.6.1 MCLUPDATE-1:  b";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.7.3";"        1.0.0.6.2 MCLDOC-1 : Docu";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.7.4";"        1.0.0.6.3 Stress testing";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.7.5";"        1.0.0.6.4 Update MEIF pro";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.7.6";"        1.0.0.6.5 MEL recipe upda";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.7.7";"        1.0.0.6.6 Advanced demo a";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.8";"      1.0.0.7 MEIF integratio";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.8.1";"        1.0.0.7.0 Revert all sour";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.8.2";"        1.0.0.7.1 Demo applicatio";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.8.3";"        1.0.0.7.2 Map the MindCon";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.8.4";"        1.0.0.7.3 Integrate MindS";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.8.5";"        1.0.0.7.4 Run MindConnect";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
"1.1.1.8.6";"        1.0.0.7.5 Study MindSpher";"2020-10-31";"2020-10-31";"";"";"";"";"";"";"";""
