"ExtId";"Name";"Start";"End";"Resource";"2020-10-19";"2020-10-26";"2020-11-02";"2020-11-09";"2020-11-16";"2020-11-23"
1;"1 ";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
1.1;"  1.0 structure=910";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1";"    1.0.0 SOW Requirement";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.1";"      1.0.0.0 R.1: MEL 11 cus";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.2";"      1.0.0.1 R.2: U-Boot sha";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.3";"      1.0.0.2 R.3: DDR3 memor";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.4";"      1.0.0.3 R.4: Two UARTs ";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.5";"      1.0.0.4 R.5: RS485 on U";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.6";"      1.0.0.5 R.6: Two LEDs o";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.7";"      1.0.0.6 R.7: 10/100M Et";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.8";"      1.0.0.7 R.8: eMMC";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.9";"      1.0.0.8 R.9: SDCard";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.10";"      1.0.0.9 R.10: USB Host ";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.11";"      1.0.0.10 R.11: External ";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.12";"      1.0.0.11 R.12: USB OTG a";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.13";"      1.0.0.12 R.13: USB Hot-p";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.14";"      1.0.0.13 R.14: USB Hub c";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.15";"      1.0.0.14 R.15: Second US";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.16";"      1.0.0.15 R.16: Dedicated";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.17";"      1.0.0.16 R.17: xilinx-sp";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.18";"      1.0.0.17 R.18: Display w";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.19";"      1.0.0.18 R.19: RTC -ABLI";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.20";"      1.0.0.19 R.20: EEPROM -M";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.1.21";"      1.0.0.20 R.21: Productio";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2";"    1.0.1 Tasks";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1";"      1.0.1.0 M.3";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.1";"        1.0.1.0.0 Create base Yoc";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.2";"        1.0.1.0.1 U-Boot splash s";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.3";"        1.0.1.0.2 Integrate U-Boo";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.4";"        1.0.1.0.3 Integrate Linux";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.5";"        1.0.1.0.4 Enable 2 UARTs ";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.6";"        1.0.1.0.5 Enable RS485 on";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.7";"        1.0.1.0.6 ENET1 -10/100)";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.8";"        1.0.1.0.7 eMMC";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.9";"        1.0.1.0.8 SDCard";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.10";"        1.0.1.0.9 Display -no tou";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.11";"        1.0.1.0.10 RTC";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.12";"        1.0.1.0.11 EEPROM";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.13";"        1.0.1.0.12 Production and ";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.1.14";"        1.0.1.0.13 eMMC deployment";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.2";"      1.0.1.1 M.4";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.2.1";"        1.0.1.1.0 Draft ATP";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.2.2";"        1.0.1.1.1 Internal review";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.3";"      1.0.1.2 M.5";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.3.1";"        1.0.1.2.0 Address review ";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.4";"      1.0.1.3 M.6";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.4.1";"        1.0.1.3.0 USB Host";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.4.2";"        1.0.1.3.1 USB OTG";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.4.3";"        1.0.1.3.2 External USB Hu";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.4.4";"        1.0.1.3.3 Second USB Hub ";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.4.5";"        1.0.1.3.4 USB Hot-plug";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.4.6";"        1.0.1.3.5 xilinx-spi driv";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.4.7";"        1.0.1.3.6 memory map for ";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.4.8";"        1.0.1.3.7 Two LEDs over G";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.5";"      1.0.1.4 M.7";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.5.1";"        1.0.1.4.0 Create M.5 test";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.5.2";"        1.0.1.4.1 QA Cycles";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.5.2.1";"          1.0.1.4.1.0 QA Cycle";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.5.2.2";"          1.0.1.4.1.1 Bugfixing";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.5.2.3";"          1.0.1.4.1.2 Validate fixes";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.5.3";"        1.0.1.4.2 QA reported iss";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
"1.1.2.5.4";"        1.0.1.4.3 Create test res";"2020-11-09";"2020-11-09";"";"";"";"";"";"";""
